Institute,Branch Name,Quota,Category,Seat Pool,Opening Rank,Closing Rank,Round No,State
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,337,1702,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,337,914,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,337,1275,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,337,30876,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,337,6411,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,337,9293,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,337,26296,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,337,31828,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,680,2073,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-Only,680,5440,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,680,2944,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,680,2944,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,680,1323,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,680,2126,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,680,32599,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,680,9817,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,680,10272,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,680,44733,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Electronics Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,680,65057,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Gender-Neutral,270,2402,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN,Female-Only,270,4936,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,270,11670,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-Only,270,19689,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,270,73171,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-Only,270,66347,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OPEN-PwD,Gender-Neutral,270,48431,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC,Gender-Neutral,270,3642,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC,Female-Only,270,6945,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,270,4910,3,Maharashtra
Veermata Jijabai Technological Institute(VJTI),"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-Only,270,4910,3,Maharashtra
